year,week,acute diarrhoea,acute upper respiratory infections,acute viral hepatitis b,campylobacterenterosis,dengue fever,dengue haemorrhagic fever,hand foot and mouth disease,malaria,measles,mumps,rubella,salmonellosis non enteric fevers ,chikungunya fever,pneumococcal disease invasive ,acute viral hepatitis c,acute upper respiratory tract infections
2006,1,2154,10584,3,8,82,1,114,1,1,20,3,5,NA,NA,NA,NA
2006,2,2386,12263,0,10,62,0,100,0,0,17,2,8,NA,NA,NA,NA
2006,3,2721,16142,0,5,45,1,118,4,0,24,0,5,NA,NA,NA,NA
2006,4,2574,16793,3,8,71,1,118,1,1,20,2,8,NA,NA,NA,NA
2006,5,1748,11945,0,3,41,0,95,2,2,13,2,4,NA,NA,NA,NA
2006,6,2812,15452,1,0,74,1,139,4,2,19,3,9,NA,NA,NA,NA
2006,7,2438,14638,0,6,53,2,205,1,1,26,2,3,NA,NA,NA,NA
2006,8,2333,14349,3,5,72,3,255,6,3,21,1,12,NA,NA,NA,NA
2006,9,2207,13594,3,6,60,0,313,2,0,9,1,5,NA,NA,NA,NA
2006,10,2259,13108,3,5,59,1,348,1,1,16,1,8,NA,NA,NA,NA
2006,11,1785,10926,3,4,36,1,371,4,2,17,2,5,NA,NA,NA,NA
2006,12,2128,11968,2,1,42,2,784,2,0,15,5,8,NA,NA,NA,NA
2006,13,2093,11475,3,2,38,1,717,0,1,26,3,4,NA,NA,NA,NA
2006,14,2029,12312,2,6,38,1,646,6,0,25,2,6,NA,NA,NA,NA
2006,15,1672,11141,2,3,37,3,450,2,1,18,4,6,NA,NA,NA,NA
2006,16,2014,14360,4,8,31,1,398,1,0,13,2,4,NA,NA,NA,NA
2006,17,1966,14122,2,5,37,1,341,4,1,14,1,7,NA,NA,NA,NA
2006,18,1523,10430,2,2,49,3,234,5,0,16,0,8,NA,NA,NA,NA
2006,19,1746,11715,0,1,42,1,290,3,0,20,2,3,NA,NA,NA,NA
2006,20,2218,15054,3,2,72,2,295,3,0,11,4,8,NA,NA,NA,NA
2006,21,2177,15013,4,1,76,4,314,5,0,16,1,6,NA,NA,NA,NA
2006,22,1947,14629,2,3,73,3,271,6,0,9,5,47,NA,NA,NA,NA
2006,23,1860,14440,1,4,82,2,222,6,0,8,2,8,NA,NA,NA,NA
2006,24,1745,15621,1,7,84,1,251,7,1,15,2,6,NA,NA,NA,NA
2006,25,1830,16632,2,3,85,2,246,4,0,16,2,5,NA,NA,NA,NA
2006,26,2250,17057,2,3,93,2,251,7,0,12,1,9,NA,NA,NA,NA
2006,27,2267,13539,0,2,104,1,289,3,0,18,1,5,NA,NA,NA,NA
2006,28,2397,12443,2,3,97,5,282,3,2,15,2,7,NA,NA,NA,NA
2006,29,2235,11646,2,3,98,2,327,4,0,18,1,1,NA,NA,NA,NA
2006,30,2233,11738,2,3,69,1,390,4,1,16,1,11,NA,NA,NA,NA
2006,31,2328,12005,4,3,74,4,492,10,1,23,2,3,NA,NA,NA,NA
2006,32,1924,10512,2,6,77,3,433,5,0,12,2,6,NA,NA,NA,NA
2006,33,2155,12109,0,8,72,1,461,4,3,25,1,7,NA,NA,NA,NA
2006,34,2194,11260,2,8,74,3,478,5,1,16,2,6,NA,NA,NA,NA
2006,35,1994,10539,5,8,57,2,472,4,0,17,1,7,NA,NA,NA,NA
2006,36,1873,10458,3,8,56,0,376,1,1,15,0,7,NA,NA,NA,NA
2006,37,2199,10839,1,2,56,2,328,1,0,13,0,9,NA,NA,NA,NA
2006,38,2329,11359,0,8,53,1,375,3,0,8,1,9,NA,NA,NA,NA
2006,39,2352,10769,1,4,54,0,300,8,1,21,2,8,NA,NA,NA,NA
2006,40,2375,11183,1,6,51,1,299,3,0,12,2,8,NA,NA,NA,NA
2006,41,2885,11975,3,3,48,0,325,0,0,22,0,5,NA,NA,NA,NA
2006,42,2144,11253,2,1,42,0,218,5,1,11,1,7,NA,NA,NA,NA
2006,43,2094,9528,2,5,36,1,187,8,0,11,0,7,NA,NA,NA,NA
2006,44,2395,11420,2,2,46,0,177,4,0,15,3,6,NA,NA,NA,NA
2006,45,2219,11961,6,5,40,0,173,2,0,8,2,15,NA,NA,NA,NA
2006,46,2278,11684,0,5,45,0,148,3,0,14,3,7,NA,NA,NA,NA
2006,47,2090,11504,3,6,41,1,158,2,0,18,3,9,NA,NA,NA,NA
2006,48,2188,11228,1,5,40,0,179,5,0,22,0,5,NA,NA,NA,NA
2006,49,2310,11003,0,7,43,2,157,2,0,10,0,3,NA,NA,NA,NA
2006,50,2197,10119,1,3,55,1,149,2,0,18,2,4,NA,NA,NA,NA
2006,51,2163,9367,0,4,44,1,122,2,0,10,2,5,NA,NA,NA,NA
2006,52,1808,8250,0,7,45,4,102,1,0,20,1,6,NA,NA,NA,NA
2007,1,1572,7684,3,5,58,3,88,2,0,10,1,1,NA,NA,NA,NA
2007,2,2402,12615,2,2,62,2,107,5,1,17,1,5,NA,NA,NA,NA
2007,3,2427,14120,2,11,48,0,140,4,0,14,0,6,NA,NA,NA,NA
2007,4,2619,15176,3,2,54,1,125,3,0,18,3,8,NA,NA,NA,NA
2007,5,2205,16950,2,3,55,1,146,4,1,19,1,5,NA,NA,NA,NA
2007,6,2136,15268,3,4,34,1,166,3,0,16,1,3,NA,NA,NA,NA
2007,7,1968,12969,4,1,55,3,193,0,0,15,1,5,NA,NA,NA,NA
2007,8,1409,9522,0,3,49,0,187,2,0,11,0,4,NA,NA,NA,NA
2007,9,2309,13481,1,3,58,3,275,3,0,16,2,4,NA,NA,NA,NA
2007,10,2272,14921,1,4,68,3,364,1,0,16,1,5,NA,NA,NA,NA
2007,11,1826,12699,3,2,44,1,357,0,0,18,2,6,NA,NA,NA,NA
2007,12,2151,13764,2,4,87,1,332,4,1,11,4,6,NA,NA,NA,NA
2007,13,1967,12943,2,0,62,0,385,7,0,15,1,6,NA,NA,NA,NA
2007,14,1703,11401,3,6,86,3,496,0,0,21,4,7,NA,NA,NA,NA
2007,15,2122,13927,1,6,126,1,460,1,1,24,1,5,NA,NA,NA,NA
2007,16,2157,15149,7,3,97,2,688,4,1,20,4,4,NA,NA,NA,NA
2007,17,2131,15468,6,3,125,4,733,1,1,15,5,11,NA,NA,NA,NA
2007,18,1960,14151,2,3,108,3,763,1,1,14,0,4,NA,NA,NA,NA
2007,19,2183,16432,3,4,178,2,719,4,0,16,4,7,NA,NA,NA,NA
2007,20,2470,17318,3,2,198,12,752,4,1,21,2,5,NA,NA,NA,NA
2007,21,2234,15552,1,2,254,5,753,2,0,14,1,9,NA,NA,NA,NA
2007,22,1746,11273,1,4,225,2,570,5,0,11,1,4,NA,NA,NA,NA
2007,23,1891,12882,2,3,285,8,485,4,0,17,0,4,NA,NA,NA,NA
2007,24,1723,11334,4,8,389,12,386,6,0,13,2,5,NA,NA,NA,NA
2007,25,1738,11414,3,2,339,10,432,3,1,20,2,5,NA,NA,NA,NA
